product_id,title,keyword,cat1,cat2,cat3,view,image
173028731,로지텍 크레프트 키보드 한글각인,"로지텍,크래프트,노트북키감,정품,로지텍크래프트",디지털/가전,PC부품/저장장치,USB/케이블/스피커,29,https://media.bunjang.co.kr/product/173028731_{cnt}_1640235148_w{res}.jpg
173938027,[새상품] 접이식 블루투스 키보드 NPad Slim ,"블루투스키보드,접이식무선키보드,무선키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),43,https://media.bunjang.co.kr/product/173938027_{cnt}_1640308785_w{res}.jpg
173803386,로지텍 무선 미니 키보드 K380 +키스킨 + M350 페블 마우스,"로지텍,무선키보드,무선마우스,로지텍k380키스,로지텍페블m350",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),101,https://media.bunjang.co.kr/product/173803386_{cnt}_1640231043_w{res}.jpg
173764812,애플 매직키보드1 매직트랙패드1,,디지털/가전,PC/노트북,PC주변기기(키보드/마우스),116,https://media.bunjang.co.kr/product/173764812_{cnt}_1640080759_w{res}.jpg
173120682,(새상품) 커세어 k60 pro 기계식 게이밍 키보드 ,"커세어키보드,기계식키보드,게이밍키보드,커세어k60,게임용키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),121,https://media.bunjang.co.kr/product/173120682_{cnt}_1640232823_w{res}.jpg
173936846,커세어 k63 적축 키보드,,디지털/가전,PC/노트북,PC주변기기(키보드/마우스),11,https://media.bunjang.co.kr/product/173936846_{cnt}_1640235978_w{res}.jpg
173936141,아콘 k77 저소음적축 게이밍 무선 키보드,,디지털/가전,PC/노트북,PC주변기기(키보드/마우스),41,https://media.bunjang.co.kr/product/173936141_{cnt}_1641488066_w{res}.jpg
173928794,앱코 k595(적축),기계식 키보드,디지털/가전,PC/노트북,PC주변기기(키보드/마우스),10,https://media.bunjang.co.kr/product/173928794_{cnt}_1640249116_w{res}.jpg
173792708,앱코 kn01 45g 무접점 키보드 / 스프링 윤활 및 스테빌 교체,"앱코무접점키보드,무접점키보드,kn01,앱코kn01,노뿌키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),201,https://media.bunjang.co.kr/product/173792708_{cnt}_1640097517_w{res}.jpg
172251551,엔보우 접이식 블루투스 키보드 N패드 풀박(화이트),"블루투스키보드,무선키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),20,https://media.bunjang.co.kr/product/172251551_{cnt}_1640271189_w{res}.jpg
173892825,갤럭시탭 s7 키보드 케이스 키보드 커버 정품,"갤탭,키보드,키보드케이스,키보드북커버,키보드커버",디지털/가전,모바일,케이스/보호필름/액세서리,56,https://media.bunjang.co.kr/product/173892825_{cnt}_1640179420_w{res}.jpg
167475022,로지텍tkl갈축 판매 교신,"키보드,갈축,로지텍,tkl,풀박스",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),104,https://media.bunjang.co.kr/product/167475022_{cnt}_1639134963_w{res}.jpg
173930519,아이패드 프로3 11인치 64+스마트키보드,,디지털/가전,모바일,태블릿,55,https://media.bunjang.co.kr/product/173930519_{cnt}_1640234209_w{res}.jpg
173924152,"24인치모니터2개,키보드 마우스 스피커 판매합니다","모니터,키보드,마우스,스피커,급처",디지털/가전,PC/노트북,기타(PC/노트북),25,https://media.bunjang.co.kr/product/173924152_{cnt}_1640223214_w{res}.jpg
173929077,레오폴드 FC660C + 숫자키패드 정리 합니다.,"레오폴드,FC660C,레오폴드키보드,키보드,무접점키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),86,https://media.bunjang.co.kr/product/173929077_{cnt}_1640228570_w{res}.jpg
167674396,로켓 불칸RGB키보드TKL,"불칸,키보드",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),80,https://media.bunjang.co.kr/product/167674396_{cnt}_1640226155_w{res}.jpg
171872664,레이저 블랙위도우 토너먼트V2 녹축 ,"키보드,레이저,블랙위도우,토너먼트,V2",디지털/가전,PC/노트북,PC주변기기(키보드/마우스),188,https://media.bunjang.co.kr/product/171872664_{cnt}_1640533385_w{res}.jpg
171434191,애플 아이맥 2013 27인치 i5/32GB/512GB 키보드 +트랙패드,"아이맥,아이맥27인치,아이맥2013,아이맥201327,아이맥풀셋",디지털/가전,PC/노트북,데스크탑,187,https://media.bunjang.co.kr/product/171434191_{cnt}_1638192763_w{res}.jpg
173030122,애플 아이맥 2019 27인치 5K 키보드 + 마우스,"아이맥,아이맥2019,아이맥27인치,아이맥27인치5K,중고아이맥",디지털/가전,PC/노트북,데스크탑,175,https://media.bunjang.co.kr/product/173030122_{cnt}_1639486842_w{res}.jpg
